Container, 0, 0, 0, 4.19993, 4.19993, 0
Container, 0, THREAD, 0, 4.19993, 4.19993, zero
State, zero, STATE, 1.799347, 4.199856, 2.400509, 0.000000, !$omp parallel @tied-floorplan.c:620 <9>
State, zero, STATE, 1.802146, 4.198856, 2.396710, 1.000000, !$omp single @tied-floorplan.c:622 <11>
State, zero, STATE, 1.803503, 4.197051, 2.393548, 2.000000, !$omp single sblock @tied-floorplan.c:622 <12>
State, zero, STATE, 1.804365, 1.808154, 0.003789, 3.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.809221, 1.809979, 0.000758, 3.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.810292, 4.196130, 2.385838, 3.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.812322, 1.858100, 0.045778, 4.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.814940, 1.857927, 0.042987, 5.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.815402, 1.817666, 0.002264, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.817916, 1.818463, 0.000547, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.818643, 1.819104, 0.000461, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.819268, 1.819721, 0.000453, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.819879, 1.820331, 0.000452, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.820543, 1.822191, 0.001648, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.822391, 1.822851, 0.000460, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.823009, 1.823487, 0.000478, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.823642, 1.824028, 0.000386, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.824194, 1.824584, 0.000390, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.824805, 1.826434, 0.001629, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.826634, 1.827069, 0.000435, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.827228, 1.827819, 0.000591, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.827977, 1.828390, 0.000413, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.828545, 1.829171, 0.000626, 6.000000, !$omp create task @tied-floorplan.c:530 <3>
State, zero, STATE, 1.829364, 1.857741, 0.028377, 6.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.829723, 1.832089, 0.002366, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.831014, 1.831867, 0.000853, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.831418, 1.831660, 0.000242, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.834754, 1.836199, 0.001445, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.835319, 1.836002, 0.000683, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.835571, 1.835835, 0.000264, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.837298, 1.838483, 0.001185, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.837723, 1.838315, 0.000592, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.837943, 1.838151, 0.000208, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.839006, 1.840129, 0.001123, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.839387, 1.839931, 0.000544, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.839584, 1.839761, 0.000177, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.840498, 1.841578, 0.001080, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.840877, 1.841410, 0.000533, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.841077, 1.841251, 0.000174, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.841960, 1.843139, 0.001179, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.842392, 1.842971, 0.000579, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.842616, 1.842813, 0.000197, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.843543, 1.844635, 0.001092, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.843925, 1.844462, 0.000537, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.844117, 1.844296, 0.000179, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.845080, 1.846172, 0.001092, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.845470, 1.846004, 0.000534, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.845664, 1.845848, 0.000184, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.846615, 1.847713, 0.001098, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.847004, 1.847545, 0.000541, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.847201, 1.847385, 0.000184, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.848143, 1.849222, 0.001079, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.848520, 1.849055, 0.000535, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.848716, 1.848898, 0.000182, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.849700, 1.850869, 0.001169, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.850161, 1.850702, 0.000541, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.850365, 1.850543, 0.000178, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.851317, 1.852423, 0.001106, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.851707, 1.852254, 0.000547, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
