Container, 0, 0, 0, 3.72144, 3.72144, 0
Container, 0, THREAD, 0, 3.72144, 3.72144, zero
State, zero, STATE, 1.606116, 3.721394, 2.115278, 0.000000, !$omp parallel @floorplan.c:620 <9>
State, zero, STATE, 1.608983, 3.720612, 2.111629, 1.000000, !$omp single @floorplan.c:622 <11>
State, zero, STATE, 1.610252, 3.718887, 2.108635, 2.000000, !$omp single sblock @floorplan.c:622 <12>
State, zero, STATE, 1.611129, 1.614280, 0.003151, 3.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.615217, 1.615843, 0.000626, 3.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.616205, 3.718104, 2.101899, 3.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.617574, 1.660474, 0.042900, 4.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.620128, 1.660309, 0.040181, 5.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.620601, 1.622639, 0.002038, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.622878, 1.623328, 0.000450, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.623501, 1.623927, 0.000426, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.624087, 1.624591, 0.000504, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.624769, 1.625193, 0.000424, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.625401, 1.631223, 0.005822, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.631521, 1.632127, 0.000606, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.632311, 1.632740, 0.000429, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.632902, 1.633328, 0.000426, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.633489, 1.633920, 0.000431, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.634111, 1.635547, 0.001436, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.635730, 1.636255, 0.000525, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.636411, 1.636818, 0.000407, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.636987, 1.637377, 0.000390, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.637544, 1.637944, 0.000400, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.638125, 1.660115, 0.021990, 6.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.638537, 1.640535, 0.001998, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.639536, 1.640319, 0.000783, 8.000000, !$omp atomic @floorplan.c:572 <7>
