Container, 0, 0, 0, 3.72144, 3.72144, 0
Container, 0, THREAD, 0, 3.72144, 3.72144, zero
State, zero, STATE, 1.606116, 1.608983, 0.002867, 0.000000, !$omp parallel @floorplan.c:620 <9>
State, zero, STATE, 1.608983, 1.610252, 0.001269, 1.000000, !$omp single @floorplan.c:622 <11>
State, zero, STATE, 1.610252, 1.611129, 0.000877, 2.000000, !$omp single sblock @floorplan.c:622 <12>
State, zero, STATE, 1.611129, 1.614280, 0.003151, 3.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.614280, 1.615217, 0.000937, 2.000000, !$omp single sblock @floorplan.c:622 <12>
State, zero, STATE, 1.615217, 1.615843, 0.000626, 3.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.615843, 1.616205, 0.000362, 2.000000, !$omp single sblock @floorplan.c:622 <12>
State, zero, STATE, 1.616205, 1.617574, 0.001369, 3.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.617574, 1.620128, 0.002554, 4.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.620128, 1.620601, 0.000473, 5.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.620601, 1.622639, 0.002038, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.622639, 1.622878, 0.000239, 5.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.622878, 1.623328, 0.000450, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.623328, 1.623501, 0.000173, 5.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.623501, 1.623927, 0.000426, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.623927, 1.624087, 0.000160, 5.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.624087, 1.624591, 0.000504, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.624591, 1.624769, 0.000178, 5.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.624769, 1.625193, 0.000424, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.625193, 1.625401, 0.000208, 5.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.625401, 1.631223, 0.005822, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.631223, 1.631521, 0.000298, 5.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.631521, 1.632127, 0.000606, 6.000000, !$omp create task @floorplan.c:530 <3>
State, zero, STATE, 1.632127, 1.632311, 0.000184, 5.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.632311, 1.632740, 0.000429, 6.000000, !$omp create task @floorplan.c:530 <3>
